address,choice,voting_power,timestamp,author_ipfs_hash,reason
0x71662561c674F9c083c01F758622A41564793983,1,9,1712066883,bafkreiazm2e64ivat7renwezxxoifp45rbebrxzcpc3doqm4xv3cjxyyyy,""
0x698a0Cc2a6844e45Fc98Cc2628Dc3Ec327533EE6,1,1,1712066911,bafkreihq3xtyomqfc6p64jtxdjf7lo3mxka5rfuno3qsisfqk6mlb7avam,""
0x4D227CAdC96ff23750e1111651F673a508719EC8,1,1,1712066932,bafkreigg62t4knnv64dwns7wx4lkeidajvwllvuulqtjokuuqnk567mofe,""
0x8b5e5b50e17fF09675133dE7BeE62F46E089b677,1,1,1712066948,bafkreidy4gnvsjnb5uwdenvmimbvcy7gilvvdupmezoc3rt2hd77x5lere,""
0xC7e949570E99260FEEd4d9a0BC25a6Df0A0CFcb8,1,9,1712066964,bafkreidqxrkz27kusniqbrnohc6bs4pb3kktdpfz6dlgxhsewuo3did2zu,""
0xcf0FC40c4b4fd2048F230da9bA6c3E5Be6226DCF,1,9,1712066983,bafkreicynycyoxzarj7ydp2wvvbgzyyzfkqqhmae2lnvrez4r3lbtkffxu,""
0x6ebB357F93E0eD47FAd3d84B00dC154e6376f5Dc,1,12,1712067006,bafkreihkbbsle75ccyqw7i7f24rf4etd6ka474pfqnt5xwfp4camslulhu,""
0x60275aa97155e2d8855533F7e4DF8f6a65a4e5b5,1,187,1712089193,bafkreih7x677casxh27a4wibnhrb6baps5bk5kx2wrdjl6cbp656tn23ae,"Make Swarm a free market economy"
0x6C5C3339960158679Fb7579B409aC35ef4a8609e,1,3,1712130269,bafkreifxf53vapmlzoohvpffjll6cpugsoeqk55awdznqrckpzbch6xyoi,""
0x6fC9cceed2d0bA78778FC2E2F6eA2beE989B23a4,1,1,1712223379,bafkreia2ljyinra2eg3bdhivaxgcaa7cbbuevugek6sb2jkvytyknorz5m,""
0xb554451AF0Cbd116cc2cfd5eB7350B92ac301558,1,1,1712223386,bafkreibonnaa3w4eyiveol4exhgryaprhkccrt6664w6hsivxeilxoczui,""
0xE5a249042BE605B0A436268d8387D38086AB1fB2,1,1,1712223392,bafkreiazddakpcxwcbtnapanmrbbqti7xsnnrikoftqijha4bvrpdqtoey,""
0xA4F5f51bD119Df4BC450D9d9b9A45B56EC9e2087,1,47,1712244806,bafkreihtpd2qxddgqndx4b24sjchmumw5cmzefmq7tmzx52ycsgffeqvxy,""
0x1e9AeA4907d7dE82B60CE66b6b784D7Fb9A91550,1,1,1712342593,bafkreibe2w7x73mxpnd3li4r7u3luylfrlnyxs4jdd3fmotyw3sd2tmwbm,""
0x11E4E79a086579D9eC5ca18a8AC6A6F629B241fe,1,1,1712342598,bafkreihitsxlquveixde5ym35rfngas5o7emfukb3aepiqb2t7d6oq6tba,""
0xA813C83eCc6f475734c287C6cB8109Ea6b6c9598,1,1,1712342602,bafkreifbgxluwwdrtc27a3jak7ggdslwrf5ssuqtlpbecl56hnqiwqwnku,""
0xE046328193437a930A5481F097d5FF7d85E0a188,1,1,1712342607,bafkreihknv3abplypktf4uzirdwfbssespxtk323ubyxzjitpg47murxdi,""
0x2F1b1E5f285e0aeBCC0975DD034938A29F38C33c,1,1,1712342617,bafkreibsxff4lkdospgaruy3yd6bqrwcxojbmx3e6xrsy3sykvv5ifyhaa,""
0xFD1DD4Dc516605393f90c8AC1F3AA5aB7B0768a9,1,1,1712342622,bafkreiafjnnlfo7jsok37gndp6tpywgalrtefxzejhjsozkezuuphzefhe,""
0x18EADbD0Bc46c3dc155148DE51C2071C8D7bb144,1,1,1712342625,bafkreiflnmnby2io3qrr6r737ojj5lhlbhos7okjdleot4ihkldg3t5pk4,""
0x74f8E62aAA38Bb41B2014C3E616F3a38B4851c5b,1,1,1712342629,bafkreic37doxmxnqqewt4qf2rb55hpv4cuv6ju5z7yhebj734vtas32q4m,""
0x77CdC88680fecd962C3daa183BdAB703e378dCCD,1,1,1712342634,bafkreiep4lmsowto5tfijhhc6fl24kyxbyjv42bxgot7uj45b7e5l6zyb4,""
0x6cD8e7d39ceF558850F67f650DD35cd2fec6a9bf,1,1,1712342644,bafkreicjutobannssnadhufzuc7shea7dc3odqhw4sb7znvxfvfhwkjf2e,""
0xb08ac6e7487153345C204EfC083094e78b44F124,1,1,1712342650,bafkreiezq46b6f7kdnqpwzz3jdpdycbr6fi7m4qp355bvqnz35f2utjsqa,""
0x980839B48832696bcA943A36BC02B37A20Caedec,1,1,1712342655,bafkreicxsxkotya6ihk6or2clo45zu6tbmy4vs3jgkk3ztowlsszajek6m,""
0xc5dDdE59257B390072AB84AA6F7AbCc24630C59f,1,1,1712342659,bafkreidsvc7ahq3cfh3b52dk5r7z62isyegakyhmwnmrkcdss2o7psdqia,""
0xb61BD657A8a3939568b0cE0418C83d7E6c425202,1,1,1712342662,bafkreibg6zrd5iitex5znzjg32fkjaynksqsiyyeqzknqaiahpjwvqdvhy,""
0x6e10e6fD81f96F2571fDc31061cD10B7706FdCAe,1,1,1712342672,bafkreihotpwju62qikrhmo44bf3h26j3nh57fkv426ghmmuojjwxyjov2q,""
0xBC29F2493c740116Cf9Db3627c673CeB21739b98,1,1,1712342682,bafkreihry7ph5ypuz6fbz5rhsaghncfft4b7r3mpmn47vntazf35j35x2m,""
0x0dbEf6B13d3C2562913804285B672323c53300af,1,1,1712342691,bafkreighv2joa4esvcnmgmkvxu6drodt5fi3wfzweaovfaw3mwadnatq4a,""
0x256Fe38eaf63491b9d6Ee61D9D204488d2450F9A,1,1,1712342696,bafkreihbp4xxnjmuaettglph54ue4n3doej7ozf3dbr4jki7i33wepbxfu,""
0x272b1Ca133894F57685c263CE5be762a919606CB,1,1,1712342700,bafkreiewa4z23yqaeiw6n4phb53eado7zsb4onmiqd5rgxqp6omw7fv7ai,""
0x971E0B4B6aaf8c79AFdB2a52c77BF397FC5C55C0,1,1,1712342705,bafkreif4gltvda7zqwt5dxjzblkhyyk4ftwetwxrb4eeb23ejujrccvgqu,""
0x5F12FbE57BEb6c8dB3a1BAe46Dee89FA541AF780,1,1,1712342710,bafkreie2o635qsycw7suu5uelnjunmqnknzbw5jufdbeipt4ujzcs7souq,""
0x2d7547Ac1DD0f6ae16405A24B76d1d61412FE8bb,1,1,1712342716,bafkreiebfd3j5v6vkafvowzfi4nyebazok45jdcqfaiipawtv6r7lehrfq,""
0xC5997E6bb1f7291a33964d3dce22C3bEb38A0F06,1,1,1712342721,bafkreiepyxzz7q7xo4syhva6iuyyr3hwwa3m6w3y7pfriffg2h2dcmem4i,""
0xbBBc7766C8dD43f04Bfa679Aa4142c35Afb6b083,1,1,1712342730,bafkreibrwu6agxreju47mw4jczsr6nsypwr5xgxddyd3qo4y2g4m2vizpe,""
0x5a1803BB2560EC660462056725F7296c464F30C7,1,1,1712342736,bafkreih6kkkob4bh3dygtqtj7dpjctitg4er2xo7qmsi4xegpmzv3vzqju,""
0x1544e337167B8F5648fd84E895Cc27d4F3dbf39b,1,1,1712342739,bafkreieez26e4bg4hqsfej6z5fkzfnfp75vk4xoktbg2zfzxcxr6rhouxe,""
